SubjectID,WhichTask,Order_Index,Word,KeyName,RT,Correct,AnswerType,Trigger_Sent,Word_Pseudoword,Wordfrequency,Language,Test
CU0,english,151,Sumting,RightArrow,1.36242508888245,1,CorrRej,262,2,3,2,2
CU0,english,130,River,LeftArrow,0.639108180999756,1,Hit,261,1,2,2,2
CU0,english,55,Harbour,LeftArrow,0.717016935348511,1,Hit,260,1,1,2,2
CU0,english,26,Councher,RightArrow,1.15255403518677,1,CorrRej,262,2,3,2,2
CU0,english,62,Issue,LeftArrow,0.749053001403809,1,Hit,261,1,2,2,2
CU0,english,14,Camel,LeftArrow,1.01616907119751,1,Hit,260,1,1,2,2
CU0,english,85,Music,LeftArrow,1.13943600654602,1,Hit,261,1,2,2,2
CU0,english,129,Risue,RightArrow,0.809499979019165,1,CorrRej,262,2,3,2,2
CU0,english,95,Number,LeftArrow,0.596063852310181,1,Hit,261,1,2,2,2
CU0,english,96,Odour,LeftArrow,0.88976788520813,1,Hit,260,1,1,2,2
CU0,english,86,Muslin,LeftArrow,0.972946166992188,1,Hit,260,1,1,2,2
CU0,english,158,Teacher,LeftArrow,0.489168167114258,1,Hit,261,1,2,2,2
CU0,english,58,Human,LeftArrow,0.472675800323486,1,Hit,261,1,2,2,2
CU0,english,139,Station,LeftArrow,0.48038911819458,1,Hit,261,1,2,2,2
CU0,english,4,Baker,LeftArrow,0.627686977386475,1,Hit,260,1,1,2,2
CU0,english,24,Contract,LeftArrow,0.461632966995239,1,Hit,261,1,2,2,2
CU0,english,128,Rhino,LeftArrow,0.614959955215454,1,Hit,260,1,1,2,2
CU0,english,75,Mercorn,RightArrow,0.721946954727173,1,CorrRej,262,2,3,2,2
CU0,english,50,Glacier,LeftArrow,0.910578012466431,1,Hit,260,1,1,2,2
CU0,english,175,Whirlwind,RightArrow,1.45944595336914,0,Missing,265,1,1,2,2
CU0,english,52,Glaly,RightArrow,1.7498459815979,1,CorrRej,262,2,3,2,2
CU0,english,69,Lizard,LeftArrow,0.783157110214233,1,Hit,260,1,1,2,2
CU0,english,57,Hueye,RightArrow,1.3157069683075,1,CorrRej,262,2,3,2,2
CU0,english,98,Owner,LeftArrow,0.633206844329834,1,Hit,261,1,2,2,2
CU0,english,64,Knuckle,LeftArrow,0.837702989578247,1,Hit,260,1,1,2,2
CU0,english,137,Siberg,RightArrow,0.835729837417603,1,CorrRej,262,2,3,2,2
CU0,english,22,City,LeftArrow,0.864203214645386,1,Hit,261,1,2,2,2
CU0,english,132,Scissors,LeftArrow,0.505884885787964,1,Hit,260,1,1,2,2
CU0,english,168,Villber,RightArrow,0.791682004928589,1,CorrRej,262,2,3,2,2
CU0,english,134,Shople,RightArrow,0.947113990783691,1,CorrRej,262,2,3,2,2
CU0,english,140,Sterwed,RightArrow,0.767678022384644,1,CorrRej,262,2,3,2,2
CU0,english,123,Reason,LeftArrow,0.675846099853516,1,Hit,261,1,2,2,2
CU0,english,106,Picpan,LeftArrow,1.4476170539856,0,FalseAlarm,267,2,3,2,2
CU0,english,83,Moonlight,LeftArrow,0.683122158050537,1,Hit,260,1,1,2,2
CU0,english,20,Cheetah,LeftArrow,0.713389158248901,1,Hit,260,1,1,2,2
CU0,english,176,Winbor,RightArrow,1.86443209648132,1,CorrRej,262,2,3,2,2
CU0,english,124,Region,LeftArrow,0.635712862014771,1,Hit,261,1,2,2,2
CU0,english,51,Gladay,RightArrow,0.912914991378784,1,CorrRej,262,2,3,2,2
CU0,english,27,Country,LeftArrow,0.561294794082642,1,Hit,261,1,2,2,2
CU0,english,7,Beaver,LeftArrow,0.784332990646362,1,Hit,260,1,1,2,2
CU0,english,71,Machine,LeftArrow,0.59400486946106,1,Hit,261,1,2,2,2
CU0,english,70,Lobster,LeftArrow,0.695566177368164,1,Hit,260,1,1,2,2
CU0,english,174,Weekend,LeftArrow,0.494593858718872,1,Hit,261,1,2,2,2
CU0,english,122,Ranger,LeftArrow,0.525480031967163,1,Hit,260,1,1,2,2
CU0,english,162,Trypost,RightArrow,1.25090312957764,1,CorrRej,262,2,3,2,2
CU0,english,169,Waiter,LeftArrow,0.689997911453247,1,Hit,260,1,1,2,2
CU0,english,155,Taboo,LeftArrow,0.557039976119995,1,Hit,260,1,1,2,2
CU0,english,28,Couple,LeftArrow,0.511889934539795,1,Hit,261,1,2,2,2
CU0,english,88,Nadow,RightArrow,0.757496118545532,1,CorrRej,262,2,3,2,2
CU0,english,12,Butler,LeftArrow,0.652849912643433,1,Hit,260,1,1,2,2
CU0,english,47,Garden,LeftArrow,0.576247930526733,1,Hit,261,1,2,2,2
CU0,english,25,Coreting,RightArrow,1.02027583122253,1,CorrRej,262,2,3,2,2
CU0,english,41,Feadow,RightArrow,1.31627798080444,1,CorrRej,262,2,3,2,2
CU0,english,145,Subpac,RightArrow,0.943392038345337,1,CorrRej,262,2,3,2,2
CU0,english,66,Letnon,RightArrow,0.976027011871338,1,CorrRej,262,2,3,2,2
CU0,english,148,Sultple,RightArrow,1.26640582084656,1,CorrRej,262,2,3,2,2
CU0,english,78,Method,LeftArrow,0.861269950866699,1,Hit,261,1,2,2,2
CU0,english,80,Missile,LeftArrow,0.629594087600708,1,Hit,260,1,1,2,2
CU0,english,107,Picture,LeftArrow,0.450161933898926,1,Hit,261,1,2,2,2
CU0,english,67,Lettuce,LeftArrow,0.488158941268921,1,Hit,260,1,1,2,2
CU0,english,131,Rooftop,LeftArrow,0.5067298412323,1,Hit,260,1,1,2,2
CU0,english,81,Money,LeftArrow,0.483808040618896,1,Hit,261,1,2,2,2
CU0,english,61,Isbor,RightArrow,1.07434511184692,1,CorrRej,262,2,3,2,2
CU0,english,164,Turtle,LeftArrow,0.716063976287842,1,Hit,260,1,1,2,2
CU0,english,118,Proture,RightArrow,0.918299913406372,1,CorrRej,262,2,3,2,2
CU0,english,5,Basil,LeftArrow,0.575901031494141,1,Hit,260,1,1,2,2
