SubjectID,WhichTask,Order_Index,Word,KeyName,RT,Correct,AnswerType,Trigger_Sent,Word_Pseudoword,Wordfrequency,Language,Test
CI1,german,42,Frontum,RightArrow,2.23752284049988,1,CorrRej,162,2,3,1,2
CI1,german,2,Alter,LeftArrow,0.767332077026367,1,Hit,161,1,2,1,2
CI1,german,40,Frage,LeftArrow,0.57922101020813,1,Hit,161,1,2,1,2
CI1,german,38,Folge,LeftArrow,0.599617004394531,1,Hit,161,1,2,1,2
CI1,german,22,Chirurg,LeftArrow,0.599646091461182,1,Hit,160,1,1,1,2
CI1,german,20,Boden,LeftArrow,0.591922044754028,1,Hit,161,1,2,1,2
CI1,german,79,Mappe,LeftArrow,0.524375915527344,1,Hit,160,1,1,1,2
CI1,german,137,Splitter,LeftArrow,0.577225923538208,1,Hit,160,1,1,1,2
CI1,german,15,Benschaft,RightArrow,0.849624156951904,1,CorrRej,162,2,3,1,2
CI1,german,17,Bildung,LeftArrow,0.916105985641479,1,Hit,161,1,2,1,2
CI1,german,170,Woche,LeftArrow,0.435528993606567,1,Hit,161,1,2,1,2
CI1,german,30,Erde,LeftArrow,0.427277088165283,1,Hit,161,1,2,1,2
CI1,german,105,Pickel,LeftArrow,0.490442991256714,1,Hit,160,1,1,1,2
CI1,german,8,Ausland,LeftArrow,0.442740917205811,1,Hit,161,1,2,1,2
CI1,german,160,Wachstum,LeftArrow,0.446285009384155,1,Hit,161,1,2,1,2
CI1,german,57,Kapsel,LeftArrow,0.392050981521606,1,Hit,160,1,1,1,2
CI1,german,133,Sigwas,RightArrow,0.685515165328979,1,CorrRej,162,2,3,1,2
CI1,german,106,Pinnwand,LeftArrow,0.612545967102051,1,Hit,160,1,1,1,2
CI1,german,98,Nordlicht,LeftArrow,0.531400918960571,1,Hit,160,1,1,1,2
CI1,german,109,Prozent,LeftArrow,0.465974092483521,1,Hit,161,1,2,1,2
CI1,german,14,Belse,LeftArrow,0.359959125518799,0,FalseAlarm,167,2,3,1,2
CI1,german,49,Glaser,LeftArrow,0.598575115203857,1,Hit,160,1,1,1,2
CI1,german,66,Klezent,RightArrow,0.811620950698853,1,CorrRej,162,2,3,1,2
CI1,german,92,Mutter,LeftArrow,0.521288871765137,1,Hit,161,1,2,1,2
CI1,german,58,Klamel,RightArrow,0.851928949356079,1,CorrRej,162,2,3,1,2
CI1,german,114,Rolle,LeftArrow,0.569958925247192,1,Hit,161,1,2,1,2
CI1,german,27,Eisrau,RightArrow,0.842051982879639,1,CorrRej,162,2,3,1,2
CI1,german,142,Stachel,LeftArrow,0.522244930267334,1,Hit,160,1,1,1,2
CI1,german,175,Zeitung,LeftArrow,0.479893922805786,1,Hit,161,1,2,1,2
CI1,german,16,Bereich,LeftArrow,0.561532020568848,1,Hit,161,1,2,1,2
CI1,german,107,Pipass,RightArrow,0.949265003204346,1,CorrRej,162,2,3,1,2
CI1,german,46,Gesetz,LeftArrow,0.743607997894287,1,Hit,161,1,2,1,2
CI1,german,11,Baumstamm,LeftArrow,0.560009956359863,1,Hit,160,1,1,1,2
CI1,german,116,Rungil,RightArrow,0.703073024749756,1,CorrRej,162,2,3,1,2
CI1,german,100,Ozon,LeftArrow,0.879654884338379,1,Hit,160,1,1,1,2
CI1,german,138,Sprache,LeftArrow,0.499994993209839,1,Hit,161,1,2,1,2
CI1,german,148,Theaus,LeftArrow,0.34276008605957,0,FalseAlarm,167,2,3,1,2
CI1,german,149,Thema,LeftArrow,0.522032976150513,1,Hit,161,1,2,1,2
CI1,german,103,Pfeife,LeftArrow,0.521673917770386,1,Hit,160,1,1,1,2
CI1,german,36,Feuer,LeftArrow,0.450137138366699,1,Hit,161,1,2,1,2
CI1,german,132,Sichel,LeftArrow,0.827989101409912,1,Hit,160,1,1,1,2
CI1,german,43,Gebiss,LeftArrow,0.53990912437439,1,Hit,160,1,1,1,2
CI1,german,151,Tischter,RightArrow,0.964818000793457,1,CorrRej,162,2,3,1,2
CI1,german,35,Fehler,LeftArrow,0.485358953475952,1,Hit,161,1,2,1,2
CI1,german,55,Kaltfront,LeftArrow,1.11306595802307,1,Hit,160,1,1,1,2
CI1,german,118,Schachtel,LeftArrow,0.581278800964355,1,Hit,160,1,1,1,2
CI1,german,50,Glerein,RightArrow,0.773365020751953,1,CorrRej,162,2,3,1,2
CI1,german,164,Watte,LeftArrow,0.499118089675903,1,Hit,160,1,1,1,2
CI1,german,7,Arbeit,LeftArrow,0.459967136383057,1,Hit,161,1,2,1,2
CI1,german,179,Zerrung,LeftArrow,0.60368800163269,1,Hit,160,1,1,1,2
CI1,german,32,Essig,LeftArrow,0.49968409538269,1,Hit,160,1,1,1,2
CI1,german,88,Morgen,LeftArrow,0.530070066452026,1,Hit,161,1,2,1,2
CI1,german,72,Leben,LeftArrow,0.551703929901123,1,Hit,161,1,2,1,2
CI1,german,53,Handre,RightArrow,0.813709020614624,1,CorrRej,162,2,3,1,2
CI1,german,33,Fagott,LeftArrow,0.869216918945313,1,Hit,160,1,1,1,2
CI1,german,96,Neraf,RightArrow,0.956698179244995,1,CorrRej,162,2,3,1,2
CI1,german,117,Sache,LeftArrow,0.66261100769043,1,Hit,161,1,2,1,2
CI1,german,124,Schmuggler,LeftArrow,0.759805917739868,1,Hit,160,1,1,1,2
CI1,german,89,Morzer,LeftArrow,0.474946975708008,0,FalseAlarm,167,2,3,1,2
CI1,german,111,Raupe,LeftArrow,0.613862037658691,1,Hit,160,1,1,1,2
CI1,german,147,Teiben,LeftArrow,0.496025800704956,0,FalseAlarm,167,2,3,1,2
CI1,german,156,Unfall,LeftArrow,0.59815502166748,1,Hit,161,1,2,1,2
CI1,german,74,Lenckel,RightArrow,0.759839057922363,1,CorrRej,162,2,3,1,2
CI1,german,128,Seife,LeftArrow,0.559170961380005,1,Hit,160,1,1,1,2
CI1,german,23,Donner,LeftArrow,0.612602949142456,1,Hit,160,1,1,1,2
CI1,german,77,Mannleis,RightArrow,0.756278991699219,1,CorrRej,162,2,3,1,2
CI1,german,69,Konzept,LeftArrow,0.475221157073975,1,Hit,161,1,2,1,2
CI1,german,70,Krake,RightArrow,0.698794841766357,0,Missing,165,1,1,1,2
CI1,german,5,Ansprit,RightArrow,2.46416115760803,1,CorrRej,162,2,3,1,2
CI1,german,64,Klemptur,RightArrow,1.0048201084137,1,CorrRej,162,2,3,1,2
CI1,german,45,Gelenk,LeftArrow,0.652194023132324,1,Hit,160,1,1,1,2
CI1,german,97,Niere,LeftArrow,0.570674896240234,1,Hit,160,1,1,1,2
CI1,german,60,Kleeblatt,LeftArrow,0.602948904037476,1,Hit,160,1,1,1,2
CI1,german,108,Prellung,LeftArrow,0.787380933761597,1,Hit,160,1,1,1,2
CI1,german,82,Mele,RightArrow,0.757663011550903,1,CorrRej,162,2,3,1,2
CI1,german,94,Narzer,RightArrow,1.61195707321167,1,CorrRej,162,2,3,1,2
CI1,german,91,Musik,LeftArrow,1.42184376716614,1,Hit,161,1,2,1,2
CI1,german,174,Zeiben,RightArrow,1.02351093292236,1,CorrRej,162,2,3,1,2
CI1,german,71,Kultur,LeftArrow,0.592933893203735,1,Hit,161,1,2,1,2
CI1,german,87,Monat,LeftArrow,0.659698963165283,1,Hit,161,1,2,1,2
CI1,german,52,Gruppe,LeftArrow,0.615914106369019,1,Hit,161,1,2,1,2
CI1,german,62,Klempheit,RightArrow,1.03235816955566,1,CorrRej,162,2,3,1,2
CI1,german,180,Ziffer,LeftArrow,0.546231985092163,1,Hit,160,1,1,1,2
CI1,german,120,Schelfe,RightArrow,0.803713083267212,1,CorrRej,162,2,3,1,2
CI1,german,167,Wetter,LeftArrow,0.550619840621948,1,Hit,161,1,2,1,2
CI1,german,143,Stimme,LeftArrow,0.479131937026978,1,Hit,161,1,2,1,2
CI1,german,51,Grupfer,RightArrow,0.822776079177856,1,CorrRej,162,2,3,1,2
CI1,german,168,Wirtschaft,LeftArrow,0.536951065063477,1,Hit,161,1,2,1,2
CI1,german,178,Zentrum,LeftArrow,0.567994832992554,1,Hit,161,1,2,1,2
CI1,german,29,Ende,LeftArrow,0.558007001876831,1,Hit,161,1,2,1,2
CI1,german,127,Schraube,LeftArrow,0.411691904067993,1,Hit,160,1,1,1,2
CI1,german,25,Einsatz,LeftArrow,0.479544162750244,1,Hit,161,1,2,1,2
CI1,german,146,Tagde,RightArrow,0.718240022659302,1,CorrRej,162,2,3,1,2
CI1,german,4,Anfang,LeftArrow,0.543567895889282,1,Hit,161,1,2,1,2
CI1,german,129,Seikon,RightArrow,0.783506155014038,1,CorrRej,162,2,3,1,2
CI1,german,150,Tischler,LeftArrow,0.55263090133667,1,Hit,160,1,1,1,2
CI1,german,54,Handschuh,LeftArrow,0.568881988525391,1,Hit,160,1,1,1,2
CI1,german,173,Zecke,LeftArrow,0.532487869262695,1,Hit,160,1,1,1,2
CI1,german,119,Schaftzan,RightArrow,1.45753598213196,1,CorrRej,162,2,3,1,2
CI1,german,99,Nordmor,RightArrow,0.725462913513184,1,CorrRej,162,2,3,1,2
CI1,german,26,Eisberg,LeftArrow,0.796115875244141,1,Hit,160,1,1,1,2
CI1,german,115,Ruhe,LeftArrow,0.49803900718689,1,Hit,161,1,2,1,2
CI1,german,24,Ebbe,LeftArrow,0.579309940338135,1,Hit,160,1,1,1,2
CI1,german,176,Zensig,LeftArrow,0.458949089050293,0,FalseAlarm,167,2,3,1,2
CI1,german,155,Tumbel,RightArrow,1.66917300224304,1,CorrRej,162,2,3,1,2
CI1,german,1,Affe,LeftArrow,0.93222188949585,1,Hit,160,1,1,1,2
CI1,german,145,Sturmflut,LeftArrow,1.08296418190002,1,Hit,160,1,1,1,2
CI1,german,163,Wasser,LeftArrow,0.512825965881348,1,Hit,161,1,2,1,2
CI1,german,28,Eltern,LeftArrow,0.547368049621582,1,Hit,161,1,2,1,2
CI1,german,41,Freitag,LeftArrow,0.460888147354126,1,Hit,161,1,2,1,2
CI1,german,63,Klempner,LeftArrow,0.848357915878296,1,Hit,160,1,1,1,2
CI1,german,86,Merder,LeftArrow,0.486091136932373,0,FalseAlarm,167,2,3,1,2
CI1,german,112,Rauzept,RightArrow,1.04731202125549,1,CorrRej,162,2,3,1,2
CI1,german,161,Wandsik,RightArrow,0.759577989578247,1,CorrRej,162,2,3,1,2
CI1,german,144,Stunde,LeftArrow,0.641759872436523,1,Hit,161,1,2,1,2
CI1,german,67,Kochtopf,LeftArrow,0.546115159988403,1,Hit,160,1,1,1,2
CI1,german,90,Muschel,LeftArrow,0.871165037155151,1,Hit,160,1,1,1,2
CI1,german,81,Mehrheit,LeftArrow,0.532384872436523,1,Hit,161,1,2,1,2
CI1,german,3,Altuch,RightArrow,1.03537106513977,1,CorrRej,162,2,3,1,2
CI1,german,162,Wanne,LeftArrow,0.627689123153687,1,Hit,160,1,1,1,2
CI1,german,6,Antwort,LeftArrow,0.44893479347229,1,Hit,161,1,2,1,2
CI1,german,56,Kanne,LeftArrow,0.534461975097656,1,Hit,160,1,1,1,2
CI1,german,177,Zentmu,RightArrow,0.705632925033569,1,CorrRej,162,2,3,1,2
CI1,german,122,Schlachter,LeftArrow,0.674012899398804,1,Hit,160,1,1,1,2
CI1,german,126,Schratoch,RightArrow,1.14322209358215,1,CorrRej,162,2,3,1,2
CI1,german,172,Zange,LeftArrow,0.575128078460693,1,Hit,160,1,1,1,2
CI1,german,123,Schleife,LeftArrow,0.742582082748413,1,Hit,160,1,1,1,2
CI1,german,65,Klenod,RightArrow,0.745018005371094,1,CorrRej,162,2,3,1,2
CI1,german,10,Bauchtanz,LeftArrow,0.697007894515991,1,Hit,160,1,1,1,2
CI1,german,34,Fallche,RightArrow,1.18426394462585,1,CorrRej,162,2,3,1,2
CI1,german,159,Vertrag,LeftArrow,0.690883159637451,1,Hit,161,1,2,1,2
CI1,german,19,Bocher,RightArrow,0.989679098129272,1,CorrRej,162,2,3,1,2
CI1,german,102,Pedal,LeftArrow,0.671230792999268,1,Hit,160,1,1,1,2
CI1,german,110,Puder,LeftArrow,0.552603960037231,1,Hit,160,1,1,1,2
CI1,german,47,Gesicht,LeftArrow,0.556056976318359,1,Hit,161,1,2,1,2
