SubjectID,WhichTask,Order_Index,Word,KeyName,RT,Correct,AnswerType,Trigger_Sent,Word_Pseudoword,Wordfrequency,Language,Test
C61,english,8,Berglue,RightArrow,0.718464136123657,1,CorrRej,262,2,3,2,2
C61,english,114,Power,LeftArrow,0.525694847106934,1,Hit,261,1,2,2,2
C61,english,115,Powlid,RightArrow,0.667677879333496,1,CorrRej,262,2,3,2,2
C61,english,116,Preacher,LeftArrow,0.500730991363525,1,Hit,260,1,1,2,2
C61,english,132,Scissors,LeftArrow,0.492136001586914,1,Hit,260,1,1,2,2
C61,english,57,Hueye,RightArrow,0.693201065063477,1,CorrRej,262,2,3,2,2
C61,english,69,Lizard,LeftArrow,0.499308109283447,1,Hit,260,1,1,2,2
C61,english,160,Trouser,LeftArrow,1.22112393379211,1,Hit,260,1,1,2,2
C61,english,124,Region,LeftArrow,0.514750957489014,1,Hit,261,1,2,2,2
C61,english,106,Picpan,RightArrow,0.649823904037476,1,CorrRej,262,2,3,2,2
C61,english,78,Method,LeftArrow,0.577234029769897,1,Hit,261,1,2,2,2
C61,english,47,Garden,LeftArrow,0.527604818344116,1,Hit,261,1,2,2,2
C61,english,45,Fortmel,RightArrow,0.618282079696655,1,CorrRej,262,2,3,2,2
C61,english,170,Water,LeftArrow,0.554404020309448,1,Hit,261,1,2,2,2
C61,english,152,Sunday,LeftArrow,0.467180013656616,1,Hit,261,1,2,2,2
C61,english,128,Rhino,LeftArrow,0.509194135665894,1,Hit,260,1,1,2,2
C61,english,9,Blacksmith,LeftArrow,0.576568841934204,1,Hit,260,1,1,2,2
C61,english,36,Drizzle,RightArrow,0.587224006652832,0,Missing,265,1,1,2,2
C61,english,64,Knuckle,LeftArrow,0.489064931869507,1,Hit,260,1,1,2,2
C61,english,59,Hurdle,LeftArrow,0.613930940628052,1,Hit,260,1,1,2,2
C61,english,145,Subpac,RightArrow,0.626788854598999,1,CorrRej,262,2,3,2,2
C61,english,74,Memem,RightArrow,0.535814046859741,1,CorrRej,262,2,3,2,2
C61,english,87,Mustard,LeftArrow,0.483689785003662,1,Hit,260,1,1,2,2
C61,english,180,Winture,RightArrow,0.698922872543335,1,CorrRej,262,2,3,2,2
C61,english,148,Sultple,RightArrow,0.591052055358887,1,CorrRej,262,2,3,2,2
C61,english,22,City,LeftArrow,0.575823068618774,1,Hit,261,1,2,2,2
C61,english,67,Lettuce,LeftArrow,0.500862121582031,1,Hit,260,1,1,2,2
C61,english,68,Lidner,RightArrow,0.699615001678467,1,CorrRej,262,2,3,2,2
C61,english,90,Navel,LeftArrow,0.542683839797974,1,Hit,260,1,1,2,2
C61,english,164,Turtle,LeftArrow,0.706377029418945,1,Hit,260,1,1,2,2
C61,english,169,Waiter,LeftArrow,0.528784990310669,1,Hit,260,1,1,2,2
C61,english,19,Catfish,LeftArrow,0.564171075820923,1,Hit,260,1,1,2,2
C61,english,38,Endster,RightArrow,0.719331979751587,1,CorrRej,262,2,3,2,2
C61,english,2,Bagduct,RightArrow,0.640136957168579,1,CorrRej,262,2,3,2,2
C61,english,176,Winbor,RightArrow,0.562031030654907,1,CorrRej,262,2,3,2,2
C61,english,133,Setting,LeftArrow,1.26439714431763,1,Hit,261,1,2,2,2
C61,english,14,Camel,LeftArrow,0.449128866195679,1,Hit,260,1,1,2,2
C61,english,75,Mercorn,RightArrow,0.710335969924927,1,CorrRej,262,2,3,2,2
C61,english,136,Shower,LeftArrow,0.563616037368774,1,Hit,261,1,2,2,2
C61,english,155,Taboo,LeftArrow,0.603593111038208,1,Hit,260,1,1,2,2
C61,english,23,Cockroach,LeftArrow,0.555938959121704,1,Hit,260,1,1,2,2
C61,english,24,Contract,LeftArrow,0.494148969650269,1,Hit,261,1,2,2,2
C61,english,39,Engine,LeftArrow,0.490789890289307,1,Hit,261,1,2,2,2
C61,english,85,Music,LeftArrow,0.411992073059082,1,Hit,261,1,2,2,2
C61,english,104,Person,LeftArrow,0.366473913192749,1,Hit,261,1,2,2,2
C61,english,35,Dording,RightArrow,0.818225145339966,1,CorrRej,262,2,3,2,2
C61,english,99,Ozard,RightArrow,0.761004209518433,1,CorrRej,262,2,3,2,2
C61,english,58,Human,LeftArrow,0.491104125976563,1,Hit,261,1,2,2,2
C61,english,76,Merding,RightArrow,0.481683969497681,1,CorrRej,262,2,3,2,2
C61,english,143,Story,LeftArrow,0.450402021408081,1,Hit,261,1,2,2,2
C61,english,131,Rooftop,RightArrow,0.540205001831055,0,Missing,265,1,1,2,2
C61,english,144,Subject,LeftArrow,0.53935694694519,1,Hit,261,1,2,2,2
C61,english,16,Canon,LeftArrow,0.533573150634766,1,Hit,260,1,1,2,2
C61,english,40,Eyelid,LeftArrow,0.600463151931763,1,Hit,260,1,1,2,2
C61,english,42,Feature,LeftArrow,0.493056058883667,1,Hit,261,1,2,2,2
C61,english,121,Racket,LeftArrow,0.656657934188843,1,Hit,260,1,1,2,2
C61,english,6,Beauty,LeftArrow,0.423513174057007,1,Hit,261,1,2,2,2
C61,english,49,Gisoon,RightArrow,0.567638158798218,1,CorrRej,262,2,3,2,2
C61,english,26,Councher,RightArrow,0.830568075180054,1,CorrRej,262,2,3,2,2
C61,english,97,Office,LeftArrow,0.501977920532227,1,Hit,261,1,2,2,2
C61,english,88,Nadow,RightArrow,0.574509859085083,1,CorrRej,262,2,3,2,2
C61,english,79,Minute,LeftArrow,0.607803106307983,1,Hit,261,1,2,2,2
C61,english,94,Nelpow,RightArrow,0.585955142974854,1,CorrRej,262,2,3,2,2
C61,english,146,Subraffe,RightArrow,0.622395992279053,1,CorrRej,262,2,3,2,2
C61,english,66,Letnon,RightArrow,0.615695953369141,1,CorrRej,262,2,3,2,2
C61,english,12,Butler,LeftArrow,0.764962911605835,1,Hit,260,1,1,2,2
C61,english,53,Glavel,RightArrow,0.84834098815918,1,CorrRej,262,2,3,2,2
C61,english,167,Village,LeftArrow,0.476018190383911,1,Hit,261,1,2,2,2
C61,english,138,Siren,LeftArrow,0.493555068969727,1,Hit,260,1,1,2,2
C61,english,32,Data,LeftArrow,0.494454860687256,1,Hit,261,1,2,2,2
C61,english,110,Poison,LeftArrow,0.526816129684448,1,Hit,260,1,1,2,2
C61,english,50,Glacier,LeftArrow,0.498737096786499,1,Hit,260,1,1,2,2
C61,english,175,Whirlwind,LeftArrow,0.819032907485962,1,Hit,260,1,1,2,2
C61,english,174,Weekend,LeftArrow,0.507290840148926,1,Hit,261,1,2,2,2
C61,english,109,Plery,RightArrow,0.918900012969971,1,CorrRej,262,2,3,2,2
C61,english,139,Station,LeftArrow,0.445111989974976,1,Hit,261,1,2,2,2
C61,english,44,Ficetea,RightArrow,0.516438961029053,1,CorrRej,262,2,3,2,2
C61,english,84,Morning,LeftArrow,0.509570121765137,1,Hit,261,1,2,2,2
C61,english,171,Weather,LeftArrow,0.494143962860107,1,Hit,261,1,2,2,2
C61,english,163,Turden,RightArrow,0.692637920379639,1,CorrRej,262,2,3,2,2
C61,english,5,Basil,LeftArrow,0.774724006652832,1,Hit,260,1,1,2,2
C61,english,7,Beaver,LeftArrow,0.480656147003174,1,Hit,260,1,1,2,2
C61,english,142,Storsmit,RightArrow,0.911355972290039,1,CorrRej,262,2,3,2,2
C61,english,61,Isbor,RightArrow,0.692946910858154,1,CorrRej,262,2,3,2,2
C61,english,29,Courtber,RightArrow,0.740489959716797,1,CorrRej,262,2,3,2,2
C61,english,13,Button,LeftArrow,0.556055068969727,1,Hit,261,1,2,2,2
C61,english,135,Shovel,LeftArrow,0.516227006912231,1,Hit,260,1,1,2,2
C61,english,105,Petal,RightArrow,0.713617086410522,0,Missing,265,1,1,2,2
C61,english,30,Courtroom,LeftArrow,0.524538993835449,1,Hit,260,1,1,2,2
C61,english,89,Nature,LeftArrow,0.501796007156372,1,Hit,261,1,2,2,2
C61,english,147,Subson,RightArrow,0.817627906799316,1,CorrRej,262,2,3,2,2
C61,english,21,Cherage,RightArrow,0.632224082946777,1,CorrRej,262,2,3,2,2
C61,english,70,Lobster,LeftArrow,0.60797381401062,1,Hit,260,1,1,2,2
C61,english,172,Wedding,LeftArrow,0.454226016998291,1,Hit,261,1,2,2,2
C61,english,173,Weddle,RightArrow,0.759675979614258,1,CorrRej,262,2,3,2,2
C61,english,17,Cansmith,RightArrow,0.684418916702271,1,CorrRej,262,2,3,2,2
