SubjectID,WhichTask,Sequenz,Word,KeyName,RT,Condition,Correct,AnswerType,d_e_sw,e_d_sw,Trigger_Sent,Word_Pseudoword,Language,Test
CU3,switch,E,Mushroom,LeftArrow,0.550163984298706,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CU3,switch,P,Storschmitt,RightArrow,0.719141006469727,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CU3,switch,P,Ranthog,RightArrow,0.705469131469727,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CU3,switch,E,Fibre,RightArrow,0.612329006195068,nsw_p_e,0,p_e_miss,NaN,NaN,328,1,2,2
CU3,switch,E,Liver,LeftArrow,0.661365032196045,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,E,Hiking,LeftArrow,0.724227905273438,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,D,Eule,LeftArrow,0.54645299911499,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CU3,switch,E,Apron,LeftArrow,0.719572067260742,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,D,Kirsche,LeftArrow,0.537927150726318,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CU3,switch,D,Panzer,LeftArrow,0.510804891586304,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CU3,switch,E,Gable,LeftArrow,0.555899143218994,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,D,Meise,LeftArrow,1.77502608299255,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CU3,switch,P,Stiebrik,RightArrow,0.854830026626587,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CU3,switch,P,Schrauseg,RightArrow,0.828784942626953,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CU3,switch,D,Spinat,LeftArrow,0.567298889160156,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,E,Rhubarb,LeftArrow,2.26226091384888,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,E,Pigeon,LeftArrow,0.593081951141357,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,P,Seirot,RightArrow,1.00165605545044,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CU3,switch,D,Ziege,LeftArrow,0.610007047653198,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,P,Glafa,RightArrow,0.704872131347656,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CU3,switch,D,Titan,LeftArrow,0.607716083526611,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,P,Reboh,RightArrow,0.932430982589722,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CU3,switch,P,Zwiene,RightArrow,0.87075400352478,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CU3,switch,E,Showroom,LeftArrow,0.648571014404297,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CU3,switch,E,Badger,LeftArrow,0.675402879714966,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,P,Richset,RightArrow,0.630460023880005,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CU3,switch,D,Stiefel,LeftArrow,0.462957859039307,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,D,Wildschwein,LeftArrow,0.658389806747437,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CU3,switch,D,Fahrrad,LeftArrow,0.595310926437378,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CU3,switch,E,Skillet,LeftArrow,0.416105031967163,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,E,Pupil,LeftArrow,0.483365058898926,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,D,Sommer,LeftArrow,0.486470222473145,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CU3,switch,P,Waldat,RightArrow,0.653871059417725,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CU3,switch,E,Mortar,LeftArrow,0.830335855484009,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CU3,switch,P,Baune,LeftArrow,0.546751022338867,nsw_e_p,0,e_p_fa,NaN,NaN,326,2,3,2
CU3,switch,D,Hagel,LeftArrow,0.965981006622314,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,E,Table,LeftArrow,0.577701091766357,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,P,Auber,RightArrow,0.972887992858887,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CU3,switch,E,Trailor,LeftArrow,0.568619012832642,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CU3,switch,E,Workbench,LeftArrow,1.25205588340759,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,P,Ladrich,RightArrow,0.709268808364868,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CU3,switch,D,Mofa,LeftArrow,0.599992036819458,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,D,Werkbank,LeftArrow,1.08308792114258,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CU3,switch,P,Railtrol,RightArrow,2.22469711303711,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CU3,switch,P,Daucken,RightArrow,0.707533836364746,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CU3,switch,D,Barock,LeftArrow,0.838092088699341,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,D,Anwalt,LeftArrow,1.22033715248108,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CU3,switch,D,Ofen,LeftArrow,0.613424062728882,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
