SubjectID,WhichTask,Sequenz,Word,KeyName,RT,Condition,Correct,AnswerType,d_e_sw,e_d_sw,Trigger_Sent,Word_Pseudoword,Language,Test
CQ0,switch,D,Papier,LeftArrow,0.390166044235229,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CQ0,switch,D,Fabrik,LeftArrow,0.403696060180664,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CQ0,switch,P,Shindrew,RightArrow,0.730678081512451,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CQ0,switch,E,Ruler,LeftArrow,0.541275978088379,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CQ0,switch,D,Reiten,LeftArrow,0.658401012420654,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CQ0,switch,E,Rickshaw,RightArrow,1.33917808532715,sw_d_e,0,d_e_miss,1,NaN,322,1,2,2
CQ0,switch,E,Subway,LeftArrow,0.576107978820801,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CQ0,switch,P,Petpea,RightArrow,1.67306995391846,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CQ0,switch,P,Erlwob,RightArrow,1.15528202056885,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CQ0,switch,E,Chisel,LeftArrow,0.945019006729126,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CQ0,switch,P,Pawnsit,RightArrow,1.24091601371765,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CQ0,switch,P,Leypan,RightArrow,1.32887411117554,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CQ0,switch,D,Daumen,LeftArrow,0.590085983276367,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CQ0,switch,D,Falke,LeftArrow,0.462805986404419,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CQ0,switch,P,Sichtglib,RightArrow,0.897753000259399,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CQ0,switch,E,Wrestling,LeftArrow,0.715864896774292,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CQ0,switch,D,Roller,LeftArrow,0.578929901123047,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CQ0,switch,D,Traube,LeftArrow,0.419671058654785,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CQ0,switch,P,Nefree,RightArrow,0.788841962814331,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CQ0,switch,D,Gletscher,LeftArrow,0.549511909484863,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CQ0,switch,D,Orkan,LeftArrow,0.490961074829102,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CQ0,switch,E,Metro,LeftArrow,0.55998706817627,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CQ0,switch,E,Chapel,LeftArrow,0.468631982803345,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CQ0,switch,D,Flugzeug,LeftArrow,0.46471118927002,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CQ0,switch,P,Zwieglet,LeftArrow,0.461419105529785,nsw_d_p,0,d_p_fa,NaN,NaN,323,2,3,2
CQ0,switch,P,Humwahl,RightArrow,1.11870813369751,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CQ0,switch,P,Schalgenz,RightArrow,0.892320871353149,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CQ0,switch,D,Rabe,LeftArrow,0.586241960525513,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
