SubjectID,WhichTask,Order_Index,Word,KeyName,RT,Correct,AnswerType,Trigger_Sent,Word_Pseudoword,Wordfrequency,Language,Test
CN3,english,145,Subpac,RightArrow,1.49637818336487,1,CorrRej,262,2,3,2,2
CN3,english,35,Dording,RightArrow,1.04424905776978,1,CorrRej,262,2,3,2,2
CN3,english,80,Missile,LeftArrow,0.651005029678345,1,Hit,260,1,1,2,2
CN3,english,122,Ranger,LeftArrow,1.02613592147827,1,Hit,260,1,1,2,2
CN3,english,37,Effort,LeftArrow,0.731296062469482,1,Hit,261,1,2,2,2
CN3,english,63,Jectlet,RightArrow,0.947341918945313,1,CorrRej,262,2,3,2,2
CN3,english,49,Gisoon,RightArrow,1.27717399597168,1,CorrRej,262,2,3,2,2
CN3,english,146,Subraffe,RightArrow,1.32250905036926,1,CorrRej,262,2,3,2,2
CN3,english,169,Waiter,LeftArrow,0.748843908309937,1,Hit,260,1,1,2,2
CN3,english,101,Pancake,LeftArrow,0.749659061431885,1,Hit,260,1,1,2,2
CN3,english,52,Glaly,RightArrow,1.16229581832886,1,CorrRej,262,2,3,2,2
CN3,english,170,Water,LeftArrow,0.684656858444214,1,Hit,261,1,2,2,2
CN3,english,107,Picture,LeftArrow,0.718938112258911,1,Hit,261,1,2,2,2
CN3,english,54,Handbag,LeftArrow,0.820537090301514,1,Hit,260,1,1,2,2
CN3,english,155,Taboo,LeftArrow,0.774639844894409,1,Hit,260,1,1,2,2
CN3,english,91,Neighbark,RightArrow,1.2354998588562,1,CorrRej,262,2,3,2,2
CN3,english,99,Ozard,RightArrow,0.827208042144775,1,CorrRej,262,2,3,2,2
CN3,english,89,Nature,LeftArrow,1.3285870552063,1,Hit,261,1,2,2,2
CN3,english,82,Monsoon,LeftArrow,1.04814505577087,1,Hit,260,1,1,2,2
CN3,english,134,Shople,RightArrow,0.81664514541626,1,CorrRej,262,2,3,2,2
CN3,english,15,Candy,LeftArrow,0.656539916992188,1,Hit,260,1,1,2,2
CN3,english,176,Winbor,RightArrow,1.26623702049255,1,CorrRej,262,2,3,2,2
CN3,english,17,Cansmith,RightArrow,1.07008004188538,1,CorrRej,262,2,3,2,2
CN3,english,151,Sumting,RightArrow,1.82706689834595,1,CorrRej,262,2,3,2,2
CN3,english,18,Carton,RightArrow,6.83660006523132,0,Missing,265,1,1,2,2
CN3,english,70,Lobster,LeftArrow,1.12356305122375,1,Hit,260,1,1,2,2
CN3,english,83,Moonlight,LeftArrow,0.754393100738525,1,Hit,260,1,1,2,2
CN3,english,65,Language,LeftArrow,1.35593605041504,1,Hit,261,1,2,2,2
CN3,english,16,Canon,LeftArrow,1.06984710693359,1,Hit,260,1,1,2,2
CN3,english,113,Postman,LeftArrow,0.879583120346069,1,Hit,260,1,1,2,2
CN3,english,154,Sweetprea,RightArrow,0.938204050064087,1,CorrRej,262,2,3,2,2
CN3,english,140,Sterwed,RightArrow,1.72074103355408,1,CorrRej,262,2,3,2,2
CN3,english,115,Powlid,RightArrow,1.72323799133301,1,CorrRej,262,2,3,2,2
CN3,english,108,Player,LeftArrow,0.67885684967041,1,Hit,261,1,2,2,2
CN3,english,85,Music,LeftArrow,0.668597936630249,1,Hit,261,1,2,2,2
CN3,english,148,Sultple,RightArrow,1.04776191711426,1,CorrRej,262,2,3,2,2
CN3,english,24,Contract,LeftArrow,0.887984991073608,1,Hit,261,1,2,2,2
CN3,english,125,Research,LeftArrow,0.873291969299316,1,Hit,261,1,2,2,2
CN3,english,152,Sunday,LeftArrow,0.982377052307129,1,Hit,261,1,2,2,2
CN3,english,175,Whirlwind,LeftArrow,1.04945683479309,1,Hit,260,1,1,2,2
CN3,english,130,River,LeftArrow,1.07183599472046,1,Hit,261,1,2,2,2
CN3,english,164,Turtle,LeftArrow,0.787221193313599,1,Hit,260,1,1,2,2
CN3,english,86,Muslin,RightArrow,1.58775496482849,0,Missing,265,1,1,2,2
CN3,english,12,Butler,LeftArrow,0.799241065979004,1,Hit,260,1,1,2,2
CN3,english,11,Bunkhouse,RightArrow,2.42248702049255,0,Missing,265,1,1,2,2
CN3,english,2,Bagduct,RightArrow,1.22273683547974,1,CorrRej,262,2,3,2,2
CN3,english,94,Nelpow,RightArrow,1.16591715812683,1,CorrRej,262,2,3,2,2
CN3,english,123,Reason,LeftArrow,1.05918288230896,1,Hit,261,1,2,2,2
CN3,english,71,Machine,LeftArrow,0.716614007949829,1,Hit,261,1,2,2,2
CN3,english,136,Shower,LeftArrow,1.01118612289429,1,Hit,261,1,2,2,2
CN3,english,38,Endster,RightArrow,2.07635712623596,1,CorrRej,262,2,3,2,2
CN3,english,174,Weekend,LeftArrow,0.943153858184814,1,Hit,261,1,2,2,2
CN3,english,56,Harcoun,RightArrow,1.24234580993652,1,CorrRej,262,2,3,2,2
CN3,english,106,Picpan,RightArrow,1.75133895874023,1,CorrRej,262,2,3,2,2
CN3,english,1,Ally,LeftArrow,1.04715085029602,1,Hit,260,1,1,2,2
CN3,english,81,Money,LeftArrow,1.3788788318634,1,Hit,261,1,2,2,2
CN3,english,61,Isbor,RightArrow,1.43689608573914,1,CorrRej,262,2,3,2,2
CN3,english,102,Paper,LeftArrow,1.07284498214722,1,Hit,261,1,2,2,2
CN3,english,97,Office,LeftArrow,2.29551601409912,1,Hit,261,1,2,2,2
CN3,english,41,Feadow,RightArrow,1.29890084266663,1,CorrRej,262,2,3,2,2
CN3,english,21,Cherage,RightArrow,1.64232087135315,1,CorrRej,262,2,3,2,2
CN3,english,141,Storage,LeftArrow,0.745908975601196,1,Hit,261,1,2,2,2
CN3,english,8,Berglue,RightArrow,1.73696994781494,1,CorrRej,262,2,3,2,2
CN3,english,76,Merding,RightArrow,1.22743010520935,1,CorrRej,262,2,3,2,2
CN3,english,93,Neighlid,RightArrow,1.00952816009521,1,CorrRej,262,2,3,2,2
CN3,english,112,Porman,RightArrow,2.27483797073364,1,CorrRej,262,2,3,2,2
CN3,english,46,Forweath,RightArrow,1.5918140411377,1,CorrRej,262,2,3,2,2
CN3,english,153,Sweetcorn,LeftArrow,1.16549515724182,1,Hit,260,1,1,2,2
CN3,english,105,Petal,LeftArrow,0.907109975814819,1,Hit,260,1,1,2,2
CN3,english,127,Result,LeftArrow,1.02599191665649,1,Hit,261,1,2,2,2
CN3,english,131,Rooftop,LeftArrow,0.881603956222534,1,Hit,260,1,1,2,2
CN3,english,124,Region,LeftArrow,1.11744213104248,1,Hit,261,1,2,2,2
CN3,english,165,Value,LeftArrow,1.16218590736389,1,Hit,261,1,2,2,2
CN3,english,88,Nadow,RightArrow,1.11151480674744,1,CorrRej,262,2,3,2,2
CN3,english,60,Iceberg,LeftArrow,0.913596153259277,1,Hit,260,1,1,2,2
CN3,english,57,Hueye,RightArrow,1.03146886825562,1,CorrRej,262,2,3,2,2
CN3,english,121,Racket,LeftArrow,0.874246835708618,1,Hit,260,1,1,2,2
CN3,english,137,Siberg,RightArrow,1.74081778526306,1,CorrRej,262,2,3,2,2
CN3,english,173,Weddle,RightArrow,1.70936894416809,1,CorrRej,262,2,3,2,2
CN3,english,27,Country,LeftArrow,0.775436878204346,1,Hit,261,1,2,2,2
CN3,english,118,Proture,RightArrow,1.38123393058777,1,CorrRej,262,2,3,2,2
CN3,english,117,Product,LeftArrow,0.663708925247192,1,Hit,261,1,2,2,2
CN3,english,75,Mercorn,RightArrow,1.12872910499573,1,CorrRej,262,2,3,2,2
CN3,english,149,Sumbor,RightArrow,0.91209602355957,1,CorrRej,262,2,3,2,2
CN3,english,43,Fennel,LeftArrow,1.00926995277405,1,Hit,260,1,1,2,2
CN3,english,47,Garden,LeftArrow,0.574810028076172,1,Hit,261,1,2,2,2
CN3,english,40,Eyelid,LeftArrow,0.726690053939819,1,Hit,260,1,1,2,2
CN3,english,139,Station,LeftArrow,0.847144842147827,1,Hit,261,1,2,2,2
CN3,english,53,Glavel,RightArrow,0.759627103805542,1,CorrRej,262,2,3,2,2
CN3,english,66,Letnon,RightArrow,0.800148010253906,1,CorrRej,262,2,3,2,2
CN3,english,4,Baker,LeftArrow,0.796720027923584,1,Hit,260,1,1,2,2
CN3,english,144,Subject,LeftArrow,0.77490496635437,1,Hit,261,1,2,2,2
CN3,english,104,Person,LeftArrow,0.762622833251953,1,Hit,261,1,2,2,2
CN3,english,84,Morning,LeftArrow,0.636543989181519,1,Hit,261,1,2,2,2
CN3,english,73,Member,LeftArrow,0.681363105773926,1,Hit,261,1,2,2,2
CN3,english,42,Feature,LeftArrow,0.950232982635498,1,Hit,261,1,2,2,2
CN3,english,133,Setting,LeftArrow,0.749276876449585,1,Hit,261,1,2,2,2
CN3,english,109,Plery,RightArrow,0.796677827835083,1,CorrRej,262,2,3,2,2
CN3,english,138,Siren,LeftArrow,0.830413103103638,1,Hit,260,1,1,2,2
CN3,english,78,Method,LeftArrow,0.740165948867798,1,Hit,261,1,2,2,2
CN3,english,135,Shovel,LeftArrow,0.885843992233276,1,Hit,260,1,1,2,2
CN3,english,69,Lizard,LeftArrow,0.908114910125732,1,Hit,260,1,1,2,2
CN3,english,7,Beaver,LeftArrow,0.803122997283936,1,Hit,260,1,1,2,2
CN3,english,150,Summer,LeftArrow,0.636399030685425,1,Hit,261,1,2,2,2
CN3,english,58,Human,LeftArrow,1.0007119178772,1,Hit,261,1,2,2,2
CN3,english,90,Navel,LeftArrow,1.00647687911987,1,Hit,260,1,1,2,2
CN3,english,114,Power,LeftArrow,0.8892982006073,1,Hit,261,1,2,2,2
CN3,english,20,Cheetah,LeftArrow,0.93713903427124,1,Hit,260,1,1,2,2
CN3,english,25,Coreting,RightArrow,1.33016300201416,1,CorrRej,262,2,3,2,2
CN3,english,100,Package,LeftArrow,0.776779890060425,1,Hit,261,1,2,2,2
CN3,english,67,Lettuce,LeftArrow,0.83640193939209,1,Hit,260,1,1,2,2
CN3,english,10,Blizzard,LeftArrow,0.700711965560913,1,Hit,260,1,1,2,2
CN3,english,13,Button,LeftArrow,0.870161056518555,1,Hit,261,1,2,2,2
CN3,english,172,Wedding,LeftArrow,0.832573890686035,1,Hit,261,1,2,2,2
CN3,english,168,Villber,RightArrow,1.14600419998169,1,CorrRej,262,2,3,2,2
CN3,english,36,Drizzle,LeftArrow,0.921991109848022,1,Hit,260,1,1,2,2
CN3,english,26,Councher,RightArrow,1.04526209831238,1,CorrRej,262,2,3,2,2
CN3,english,77,Methcon,RightArrow,0.97563910484314,1,CorrRej,262,2,3,2,2
CN3,english,30,Courtroom,LeftArrow,1.19994211196899,1,Hit,260,1,1,2,2
CN3,english,142,Storsmit,RightArrow,1.33524703979492,1,CorrRej,262,2,3,2,2
CN3,english,162,Trypost,RightArrow,1.20030307769775,1,CorrRej,262,2,3,2,2
CN3,english,50,Glacier,LeftArrow,0.815587043762207,1,Hit,260,1,1,2,2
CN3,english,98,Owner,LeftArrow,0.70258903503418,1,Hit,261,1,2,2,2
CN3,english,28,Couple,LeftArrow,0.829946041107178,1,Hit,261,1,2,2,2
CN3,english,159,Traffic,LeftArrow,1.16544604301453,1,Hit,261,1,2,2,2
CN3,english,147,Subson,RightArrow,0.871958017349243,1,CorrRej,262,2,3,2,2
CN3,english,96,Odour,LeftArrow,1.07330799102783,1,Hit,260,1,1,2,2
CN3,english,62,Issue,LeftArrow,0.689030885696411,1,Hit,261,1,2,2,2
CN3,english,132,Scissors,LeftArrow,0.615669012069702,1,Hit,260,1,1,2,2
CN3,english,9,Blacksmith,LeftArrow,0.893224000930786,1,Hit,260,1,1,2,2
CN3,english,92,Neighbour,LeftArrow,0.915246963500977,1,Hit,260,1,1,2,2
CN3,english,34,Diner,LeftArrow,0.657642126083374,1,Hit,260,1,1,2,2
CN3,english,119,Purpose,LeftArrow,0.75809383392334,1,Hit,261,1,2,2,2
CN3,english,161,Trylob,RightArrow,0.893266201019287,1,CorrRej,262,2,3,2,2
CN3,english,64,Knuckle,LeftArrow,0.793402910232544,1,Hit,260,1,1,2,2
CN3,english,55,Harbour,LeftArrow,0.967375040054321,1,Hit,260,1,1,2,2
CN3,english,103,People,LeftArrow,0.893491983413696,1,Hit,261,1,2,2,2
CN3,english,160,Trouser,LeftArrow,0.821455955505371,1,Hit,260,1,1,2,2
CN3,english,116,Preacher,LeftArrow,0.826075077056885,1,Hit,260,1,1,2,2
CN3,english,163,Turden,RightArrow,1.09360694885254,1,CorrRej,262,2,3,2,2
CN3,english,129,Risue,RightArrow,1.37178015708923,1,CorrRej,262,2,3,2,2
CN3,english,32,Data,LeftArrow,0.785176992416382,1,Hit,261,1,2,2,2
CN3,english,31,Damage,RightArrow,0.722537994384766,0,Missing,266,1,2,2,2
CN3,english,22,City,LeftArrow,3.72078514099121,1,Hit,261,1,2,2,2
CN3,english,111,Porba,RightArrow,0.79733681678772,1,CorrRej,262,2,3,2,2
CN3,english,126,Respect,LeftArrow,0.737542867660522,1,Hit,261,1,2,2,2
CN3,english,14,Camel,LeftArrow,0.794022083282471,1,Hit,260,1,1,2,2
CN3,english,3,Bagrea,RightArrow,0.891991853713989,1,CorrRej,262,2,3,2,2
CN3,english,39,Engine,LeftArrow,0.668740034103394,1,Hit,261,1,2,2,2
CN3,english,120,Question,LeftArrow,0.834651947021484,1,Hit,261,1,2,2,2
CN3,english,59,Hurdle,RightArrow,0.847815990447998,0,Missing,265,1,1,2,2
CN3,english,128,Rhino,LeftArrow,0.797705888748169,1,Hit,260,1,1,2,2
CN3,english,19,Catfish,LeftArrow,0.997132062911987,1,Hit,260,1,1,2,2
CN3,english,178,Window,LeftArrow,1.57483315467834,1,Hit,261,1,2,2,2
CN3,english,29,Courtber,RightArrow,1.34517288208008,1,CorrRej,262,2,3,2,2
CN3,english,180,Winture,RightArrow,1.38725900650024,1,CorrRej,262,2,3,2,2
CN3,english,87,Mustard,LeftArrow,0.839993000030518,1,Hit,260,1,1,2,2
CN3,english,171,Weather,LeftArrow,0.667813062667847,1,Hit,261,1,2,2,2
CN3,english,79,Minute,LeftArrow,0.990470886230469,1,Hit,261,1,2,2,2
CN3,english,51,Gladay,RightArrow,1.81627321243286,1,CorrRej,262,2,3,2,2
CN3,english,5,Basil,LeftArrow,0.811393976211548,1,Hit,260,1,1,2,2
CN3,english,23,Cockroach,LeftArrow,1.13116693496704,1,Hit,260,1,1,2,2
CN3,english,48,Giraffe,LeftArrow,0.6770920753479,1,Hit,260,1,1,2,2
CN3,english,143,Story,LeftArrow,0.75970196723938,1,Hit,261,1,2,2,2
CN3,english,6,Beauty,LeftArrow,0.688464164733887,1,Hit,261,1,2,2,2
CN3,english,166,Vapour,LeftArrow,1.31040787696838,1,Hit,260,1,1,2,2
CN3,english,72,Media,LeftArrow,2.85443711280823,1,Hit,261,1,2,2,2
CN3,english,177,Windmill,LeftArrow,0.829061031341553,1,Hit,260,1,1,2,2
CN3,english,167,Village,LeftArrow,0.578194856643677,1,Hit,261,1,2,2,2
CN3,english,74,Memem,RightArrow,1.84254217147827,1,CorrRej,262,2,3,2,2
CN3,english,45,Fortmel,RightArrow,1.04957389831543,1,CorrRej,262,2,3,2,2
CN3,english,157,Tavern,LeftArrow,0.663566112518311,1,Hit,260,1,1,2,2
CN3,english,179,Winmus,RightArrow,1.0645649433136,1,CorrRej,262,2,3,2,2
