  dataset       zr        a     v_NW       t0     v_LF     v_HF  penalty      fit     time   method
      CI9   0.6245   2.4634  -2.3510   0.3512   2.4101   2.4042   0.0000  -4.8280   0.6110       ML
      CJ0   0.6166   1.7801  -2.8841   0.5513   2.2235   3.1143   0.0000 -59.9877   0.6750       ML
      CJ1   0.6539   1.8828  -4.2189   0.4242   3.8763   5.7939   0.0000 -156.0513   0.6280       ML
      CJ2   0.6489   2.1906  -4.1647   0.4213   2.4730   3.5734   0.0000 -88.2696   0.6380       ML
      CJ3   0.6130   1.9037  -3.1272   0.3846   3.0109   3.9437   0.0000 -97.8877   0.6770       ML
      CJ4   0.7497   2.0979  -4.3441   0.4165   2.5867   3.4249   0.0000 -106.9813   1.2210       ML
      CJ5   0.6752   1.4387  -4.8698   0.4470   2.3549   3.7693   0.0000 -138.1077   0.6260       ML
      CJ6   0.6801   2.7145  -2.3444   0.4888   2.2145   3.0266   0.0000 -12.3536   0.6040       ML
      CJ7   0.7332   2.4342  -3.2931   0.4901   2.3245   2.8508   0.0000 -55.9071   0.6360       ML
      CM0   0.6431   1.9202  -3.9354   0.4310   2.5700   4.3847   0.0000 -109.1922   0.5950       ML
      CM1   0.6867   1.8603  -3.3485   0.4496   2.4434   2.5520   0.0000 -72.5077   0.6760       ML
      CM2   0.5208   2.0660  -2.3587   0.3120   2.7231   4.9318   0.0000 -67.2872   0.6010       ML
      CM3   0.6382   2.7044  -3.6271   0.4476   2.8610   3.2963   0.0000 -59.7453   0.6410       ML
      CM4   0.7406   1.9296  -3.7240   0.4986   2.1004   3.0355   0.0000 -87.1709   0.6840       ML
      CM5   0.5924   2.2813  -3.3846   0.3126   4.2262   4.3871   0.0000 -113.7111   0.7280       ML
      CM6   0.6324   2.0584  -3.2161   0.4001   2.5679   5.1487   0.0000 -103.2255   0.7600       ML
      CM7   0.5878   1.9562  -3.2014   0.3596   3.7094   3.8799   0.0000 -104.8981   0.6540       ML
      CM8   0.6096   2.2373  -3.1192   0.3865   2.6809   4.2402   0.0000 -74.9267   0.6650       ML
      CM9   0.6290   4.1489  -3.3920   0.2572   2.7657   4.0298   0.0000 -27.3836   0.6670       ML
      CN0   0.5718   2.7315  -4.5285   0.3131   4.4991   5.8736   0.0000 -141.5604   0.7320       ML
      CN1   0.7280   1.6637  -3.4802   0.4452   2.5157   2.5183   0.0000 -91.7233   0.6090       ML
      CN2   0.6340   2.1997  -2.4343   0.4322   2.9574   3.5420   0.0000 -55.0610   0.6340       ML
      CN3   0.6717   2.2128  -2.8593   0.4655   2.5356   2.7978   0.0000 -51.0332   0.6190       ML
      CN4   0.6262   2.5846  -2.2885   0.2880   2.3216   2.9809   0.0000  -8.4113   0.6500       ML
      CN5   0.6706   2.0037  -5.1073   0.4984   2.7123   3.3492   0.0000 -115.8062   0.7800       ML
      CQ0   0.7097   1.8084  -3.3705   0.4799   3.1850   3.0326   0.0000 -102.4438   0.5870       ML
      CU0   0.6733   2.0040  -3.4268   0.4543   2.7515   3.3480   0.0000 -85.3768   0.6400       ML
      CU1   0.6296   1.9741  -2.7115   0.5061   3.4328   4.2697   0.0000 -94.6978   0.7690       ML
      CU2   0.5328   2.9846  -4.8844   0.3982   6.0306   6.8281   0.0000 -161.7087   0.8760       ML
      CU3   0.6670   2.2468  -3.4049   0.3983   2.6935   4.9149   0.0000 -100.4607   0.6530       ML
      CU4   0.6085   2.1326  -3.0847   0.3828   3.3156   5.0450   0.0000 -102.1614   0.5940       ML
      CU5   0.5978   2.7551  -2.5862   0.3840   2.4990   3.8266   0.0000 -29.7838   0.7080       ML
