  dataset       zr        a   v_NWNW       t0    v_NWG     v_GE    v_ENW    v_NWE     v_EE    v_GNW     v_EG     v_GG  penalty      fit     time   method
      CE1   0.7128   1.8053  -3.8373   0.4372   3.3904   2.5517  -4.5814   2.5241   3.8562  -4.9809   4.8378   4.5494   0.0000 -368.4340   5.1940       ML
      CE2   0.6774   1.8641  -2.9057   0.3990   4.4252   2.0316  -3.9288   2.0847   2.5479  -3.5177   4.0057   5.1882   0.0000 -255.3975   3.9070       ML
      CE3   0.6026   2.5194  -2.6930   0.3941   3.7677   2.0759  -2.9117   2.1754   2.3065  -2.9665   4.0736   5.6645   0.0000 -127.4061   4.0450       ML
      CE4   0.6559   2.2518  -2.7904   0.4878   2.2455   1.7894  -2.6319   2.1355   2.5998  -2.7389   2.1277   2.2038   0.0000 -34.0209   4.9100       ML
      CE5   0.6991   2.1572  -3.3344   0.4440   2.8654   3.1589  -4.0914   2.2004   3.5480  -4.1714   3.5187   3.7185   0.0000 -261.6500   4.3930       ML
      CE6   0.7083   2.4543  -3.0054   0.4614   3.0669   2.1776  -3.3399   1.9730   3.0531  -3.2009   3.2413   4.6858   0.0000 -167.8836   4.8640       ML
      CE7   0.6378   2.3150  -2.7237   0.4245   5.0586   2.4984  -2.9024   2.8369   2.9402  -3.2549   3.7574   4.3929   0.0000 -196.7163   4.5840       ML
      CE8   0.6027   2.6377  -3.3150   0.3490   4.2495   2.7473  -2.9782   2.1253   2.4684  -2.8769   4.0600   5.1264   0.0000 -149.9379   5.3480       ML
      CE9   0.5730   2.0513  -2.4465   0.4852   3.0818   2.4954  -2.9121   2.4228   3.6894  -2.5928   3.1109   3.4957   0.0000 -139.1839   4.3420       ML
      CF0   0.6392   2.2797  -3.2346   0.4123   2.5318   2.4380  -3.6312   2.3750   2.5811  -2.9329   3.3829   3.8732   0.0000 -152.0252   5.6310       ML
      CF1   0.6697   1.7974  -3.5441   0.4209   2.1840   2.5732  -3.6423   2.1228   3.7349  -3.4797   2.5119   2.8293   0.0000 -217.4209   5.7310       ML
      CF2   0.5573   3.9120  -2.3749   0.3464   3.8334   3.6674  -2.8369   3.1040   4.0740  -2.7475   4.9636   5.2924   0.0000 -94.7831   6.0310       ML
      CI0   0.6540   2.5801  -2.6892   0.3701   3.5091   2.8548  -2.8008   2.3663   3.7809  -3.2555   4.2404   5.2795   0.0000 -188.5542   4.6780       ML
      CI1   0.6183   3.2228  -2.7411   0.3346   2.7406   2.7888  -3.0614   2.1559   2.9431  -3.0387   4.0299   4.6932   0.0000 -81.4691   4.5810       ML
      CI2   0.6453   2.2029  -2.7568   0.4166   1.6970   2.0105  -3.5162   1.6853   2.1911  -3.6209   2.7607   3.1586   0.0000 -77.5107   4.5940       ML
      CI3   0.8218   4.1224  -4.9960   0.4602   3.1413   2.4713  -4.8674   1.7113   2.5843  -5.1217   4.3738   4.5786   0.0000 -213.2757   6.4760       ML
      CI4   0.5860   2.3299  -2.7079   0.5236   4.4491   3.0464  -3.9989   2.5402   3.5309  -4.0265   4.0888   4.3940   0.0000 -230.5507   4.7400       ML
      CI5   0.6550   2.1867  -3.0249   0.4765   4.2197   2.8800  -3.6595   2.3016   2.5644  -4.0616   6.6284   6.5744   0.0000 -276.2288   5.5020       ML
      CI6   0.6630   2.0331  -3.3554   0.4942   3.8856   2.8527  -3.5965   3.0476   3.6796  -3.9291   4.1554   4.4893   0.0000 -290.0787   5.1570       ML
      CI7   0.5892   2.6680  -2.4078   0.3574   2.7309   2.0677  -3.0104   2.0313   2.6178  -2.3693   3.3255   3.4342   0.0000 -27.3104   4.5240       ML
      CI8   0.6199   1.5465  -3.3989   0.5049   4.0552   3.0063  -4.1941   3.3586   3.0671  -4.4757   2.9353   4.2875   0.0000 -334.7718   3.5940       ML
      CI9   0.5409   6.0802  -4.2147   0.1000   2.7823   4.4609  -2.6953   2.6828   4.5633  -2.5308   5.0871   5.6080   0.0000 -11.5351   8.2870       ML
      CJ0   0.5961   1.9468  -2.7310   0.5079   2.6234   2.3948  -3.1704   1.7897   2.0306  -2.6110   3.0177   4.0907   0.0000 -120.9428   3.4770       ML
      CJ1   0.6142   2.1511  -3.5529   0.3724   3.6138   3.0229  -3.6929   2.9840   3.1420  -3.2643   4.1856   4.6456   0.0000 -253.8505   4.3400       ML
      CJ2   0.6528   2.5004  -4.1322   0.4054   2.2876   2.5458  -4.8514   1.9130   2.6275  -5.1260   3.1659   2.9827   0.0000 -173.9288   5.8830       ML
      CJ3   0.5893   1.9554  -2.5513   0.4185   3.4036   4.3665  -3.1130   2.5984   3.8908  -2.7816   4.1265   5.9430   0.0000 -258.8710   4.2580       ML
      CJ4   0.6855   2.2017  -3.3065   0.4411   1.8922   1.7071  -3.4763   1.7517   2.0330  -3.7826   2.4768   3.6239   0.0000 -99.3061   3.6360       ML
      CJ5   0.5652   1.5223  -3.5418   0.4632   4.5560   4.4676  -4.0665   3.5024   5.2673  -4.7584   6.4365   6.1366   0.0000 -446.9819   4.1480       ML
      CJ6   0.6747   1.9864  -2.4398   0.4819   2.7215   1.8803  -2.6485   1.8410   2.6259  -2.9472   2.8674   3.6327   0.0000 -123.4799   3.9260       ML
      CJ7   0.6467   2.2766  -3.2547   0.4578   2.8308   2.4130  -3.5135   2.6255   3.2092  -3.5476   2.9275   3.9495   0.0000 -193.6715   3.9820       ML
      CM0   0.6160   2.2474  -4.1680   0.3992   3.2837   3.6154  -4.8438   2.6306   3.4305  -4.2442   4.0328   4.6406   0.0000 -297.9111   6.5610       ML
      CM1   0.6337   1.7001  -3.6456   0.4424   2.2467   1.8398  -3.3494   2.2834   2.6411  -3.1705   3.2603   3.2784   0.0000 -200.9927   4.9380       ML
      CM2   0.6176   2.1822  -2.7914   0.3916   3.4501   3.0425  -3.0819   2.4382   3.2624  -3.3013   3.6644   3.7386   0.0000 -193.0072   5.4110       ML
      CM3   0.5867   2.8969  -3.1076   0.3387   3.0902   2.1306  -2.9735   2.3740   3.0385  -2.9797   2.8698   2.9231   0.0000 -47.3966   4.0670       ML
      CM4   0.6142   3.0528  -3.5112   0.4359   3.3036   2.7130  -3.1488   2.8054   3.2450  -3.7226   3.2768   3.7183   0.0000 -126.2606   5.2640       ML
      CM5   0.5974   2.4527  -2.8680   0.3500   4.2015   4.1061  -3.6664   3.1254   5.2078  -2.9936   5.2122   6.4845   0.0000 -295.9901   5.2640       ML
      CM6   0.6225   1.8190  -3.9438   0.3840   3.8842   2.8458  -3.4156   2.9750   3.7751  -3.6721   4.9103   5.1078   0.0000 -333.5181   4.5420       ML
      CM7   0.6143   2.8136  -2.9107   0.2970   3.1550   2.7780  -3.2916   2.2917   2.8601  -2.8433   3.4231   3.9548   0.0000 -106.0822   5.8690       ML
      CM8   0.6333   2.2879  -2.7873   0.3919   3.9364   3.1657  -2.7890   2.9612   4.2997  -3.2283   3.9654   4.4930   0.0000 -225.9891   5.7930       ML
      CM9   0.6052   3.0829  -3.5722   0.3041   3.5121   3.8096  -4.0768   3.4334   4.6471  -3.9554   4.3134   4.0442   0.0000 -233.4243   5.4180       ML
      CN0   0.6998   1.8827  -3.6416   0.3929   3.3374   2.4535  -3.3384   2.1822   3.0127  -3.2649   3.4094   4.2843   0.0000 -260.1583   4.7230       ML
      CN1   0.6742   1.6795  -4.8538   0.4311   3.1960   2.3990  -3.8973   2.9196   3.2149  -3.9221   2.7928   3.5804   0.0000 -312.5922   4.3330       ML
      CN2   0.6420   2.2406  -2.1136   0.4614   3.0159   2.2066  -2.4602   2.4458   2.9214  -2.8750   3.0316   3.4421   0.0000 -107.3695   4.2720       ML
      CN3   0.7366   2.0744  -3.4637   0.5119   2.7826   2.0547  -3.3471   1.8012   2.2628  -2.9224   2.6918   3.0559   0.0000 -169.3257   4.7730       ML
      CN4   0.6172   2.9270  -2.2847   0.2846   2.1956   2.3833  -2.6101   2.1233   3.0660  -2.6388   3.1490   3.2064   0.0000  -5.9473   4.6820       ML
      CN5   0.6207   1.9315  -3.3999   0.4217   3.2180   3.0237  -3.8738   2.7194   3.1882  -3.9096   3.1144   4.1406   0.0000 -264.1292   4.4870       ML
      CQ0   0.5872   2.7688  -2.5382   0.3857   4.5187   3.4263  -3.4448   3.0102   3.9265  -3.5358   5.8658   7.0587   0.0000 -241.9272   6.3760       ML
      CU0   0.5931   4.1538  -3.7714   0.2308   3.4288   3.7224  -3.9091   2.6847   4.0321  -3.4978   4.2488   4.8646   0.0000 -130.5033   6.6870       ML
      CU1   0.6793   2.4865  -2.6530   0.4838   3.4488   2.7610  -3.2585   2.6001   3.3622  -3.2517   3.7275   3.8108   0.0000 -182.6489   5.2070       ML
      CU2   0.5146   2.2150  -4.2220   0.4144   4.6819   4.3667  -3.5494   3.7951   5.2760  -3.6361   6.3014   6.1001   0.0000 -353.6097   5.1780       ML
      CU3   0.6308   1.9999  -2.8883   0.3970   2.3592   2.7856  -2.7698   2.1280   2.4202  -2.9739   3.0931   3.0722   0.0000 -144.4829   4.1880       ML
      CU4   0.6768   2.3317  -2.6125   0.4257   2.9398   2.4604  -2.6345   2.2318   2.9068  -2.7174   3.0997   3.5872   0.0000 -125.5925   3.8660       ML
      CU5   0.6761   2.3057  -2.8044   0.4769   1.7912   2.4828  -3.7131   2.0521   2.2760  -2.9026   2.5516   2.5917   0.0000 -80.7970   6.2850       ML
